SUID,AverageShortestPathLength,Betweenness,BetweennessCentrality,Closeness,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Eigenvector,Information,IsSingleNode,LAC,name,NeighborhoodConnectivity,Network,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,Subgragh,TopologicalCoefficient
379,2.59036145,572.7655749,0.00927526,0.086693548,0.38604651,0.36333333,25,6,0.123771988,4.339445114,FALSE,8.72,MAP2K1,25.52,11.94751732,25,0,0,0.82329317,FALSE,0,MAP2K1,5482,6.14E+08,0.21057851
148,2.56626506,4457.652018,0.07218636,0.086868687,0.38967136,0.20289855,24,6,0.064140432,4.310884476,FALSE,4.666666667,HPGDS,17.375,11.4669362,24,0,0,0.82597055,FALSE,0,HPGDS,30816,1.65E+08,0.13541667
285,2.52610442,2381.32753,0.03856276,0.087162162,0.39586645,0.21376812,24,5,0.088622533,4.310884476,FALSE,4.916666667,PRKACA,20.33333333,7.541843507,24,0,0,0.83043284,FALSE,0,PRKACA,19062,3.15E+08,0.1578776
406,2.69879518,210.1339128,0.00340287,0.085914086,0.37053571,0.41666667,24,6,0.118701868,4.310884476,FALSE,9.583333333,PIK3CD,23.91666667,12.67667227,24,0,0,0.81124498,FALSE,0,PIK3CD,2438,5.65E+08,0.22562893
129,2.3935743,1540.054826,0.02493935,0.088144858,0.41778523,0.25541126,22,6,0.083653592,4.247684479,FALSE,5.363636364,PPARG,25.5,7.209653943,22,0,0,0.84515841,FALSE,0,PPARG,13718,2.81E+08,0.15740741
272,2.47791165,482.1154429,0.00780728,0.087516961,0.40356564,0.41125541,22,6,0.102305926,4.247684479,FALSE,8.636363636,NR3C1,28.54545455,10.72325935,22,0,0,0.83578759,FALSE,0,NR3C1,6060,4.20E+08,0.19418677
496,2.54618474,329.3891152,0.00533406,0.087015177,0.39274448,0.41991342,22,5,0.119705305,4.247684479,FALSE,8.818181818,KDR,28.59090909,10.64383377,22,0,0,0.8282017,FALSE,0,KDR,4162,5.75E+08,0.22163495
77,2.4939759,709.8138106,0.01149459,0.087398374,0.40096618,0.36190476,21,6,0.09108863,4.212594986,FALSE,7.238095238,MDM2,26.33333333,8.555940989,21,0,0,0.83400268,FALSE,0,MDM2,8952,3.33E+08,0.18414918
217,2.58634538,2367.203257,0.03833403,0.086722689,0.38664596,0.21428571,21,6,0.05736747,4.212594986,FALSE,4.285714286,MMP9,17.38095238,8.762554113,21,0,0,0.8237394,FALSE,0,MMP9,15708,1.32E+08,0.13504464
281,2.54618474,299.073537,0.00484314,0.087015177,0.39274448,0.57142857,21,6,0.129244313,4.212594986,FALSE,11.42857143,IGF1R,33.14285714,13.09695071,21,0,0,0.8282017,FALSE,0,IGF1R,3800,6.70E+08,0.24733475
97,2.65863454,166.268499,0.00269252,0.086201136,0.37613293,0.5,20,6,0.113991752,4.174828053,FALSE,9.5,CDC42,29.95,10.82070595,20,0,0,0.81570727,FALSE,0,CDC42,2276,5.21E+08,0.24752066
193,2.58232932,250.050461,0.00404927,0.086751849,0.38724728,0.52631579,20,6,0.120038293,4.174828053,FALSE,10,IL2,32.1,11.15167699,20,0,0,0.82418563,FALSE,0,IL2,3756,5.78E+08,0.24318182
297,2.63052209,896.7146537,0.01452122,0.086403215,0.38015267,0.28947368,20,6,0.053547543,4.174828053,FALSE,5.5,HDAC2,18.25,8.466602257,20,0,0,0.81883088,FALSE,0,HDAC2,10768,1.15E+08,0.16008772
328,2.59437751,1246.850406,0.02019126,0.086664427,0.38544892,0.26842105,20,6,0.078869075,4.174828053,FALSE,5.1,BCL2L1,23.4,7.632083998,20,0,0,0.82284694,FALSE,0,BCL2L1,11518,2.49E+08,0.19139344
453,2.59839357,107.404867,0.00173929,0.086635326,0.38485317,0.55789474,20,6,0.126158029,4.174828053,FALSE,10.6,PRKCD,33.35,11.50065789,20,0,0,0.82240071,FALSE,0,PRKCD,1730,6.38E+08,0.26259843
72,2.63453815,351.8583192,0.00569793,0.086374289,0.37957317,0.35672515,19,6,0.08970733,4.1340518,FALSE,6.421052632,ABL1,26.47368421,8.366946779,19,0,0,0.81838465,FALSE,0,ABL1,4612,3.23E+08,0.2152332
81,2.56626506,2275.127188,0.03684297,0.086868687,0.38967136,0.32163743,19,6,0.063059412,4.1340518,FALSE,5.789473684,CDK2,21.63157895,9.562896825,19,0,0,0.82597055,FALSE,0,CDK2,18198,1.59E+08,0.17444822
75,2.66666667,527.9945351,0.00855024,0.086143573,0.375,0.36601307,18,6,0.050440587,4.08990097,FALSE,6.222222222,RARA,19.38888889,8.558470941,18,0,0,0.81481481,FALSE,0,RARA,4438,1.02E+08,0.16959064
368,2.81927711,264.4156896,0.0042819,0.085064293,0.35470085,0.46405229,18,6,0.086394764,4.08990097,FALSE,7.888888889,BTK,24.44444444,10.57758785,18,0,0,0.7978581,FALSE,0,BTK,2782,2.99E+08,0.25462963
393,2.69879518,206.6201378,0.00334597,0.085914086,0.37053571,0.46405229,18,6,0.093624547,4.08990097,FALSE,7.888888889,ZAP70,27,9.858349494,18,0,0,0.81124498,FALSE,0,ZAP70,2180,3.51E+08,0.23684211
402,2.68674699,108.1797872,0.00175184,0.086,0.37219731,0.55555556,18,6,0.101024896,4.08990097,FALSE,9.444444444,SYK,28.88888889,10.56991979,18,0,0,0.81258367,FALSE,0,SYK,1640,4.09E+08,0.26026026
449,2.65060241,35.69187566,5.78E-04,0.086258776,0.37727273,0.67973856,18,6,0.121360675,4.08990097,FALSE,11.55555556,MET,35.33333333,12.71475257,18,0,0,0.81659973,FALSE,0,MET,730,5.91E+08,0.29201102
